city_ascii,lat,lng,country,admin_name,population,id
Delhi,28.61,77.23,India,Delhi,32226000,1356872604
Mumbai,19.0761,72.8775,India,Maharashtra,24973000,1356226629
Kolkata,22.5675,88.37,India,West Bengal,18502000,1356060520
Bangalore,12.9789,77.5917,India,Karnataka,15386000,1356410365
Chennai,13.0825,80.275,India,Tamil Nadu,12395000,1356374944
Hyderabad,17.385,78.4867,India,Telangana,10494000,1356871768
Pune,18.5203,73.8567,India,Maharashtra,8231000,1356081074
Ahmedabad,23.03,72.58,India,Gujarat,8009000,1356304381
Surat,21.1702,72.8311,India,Gujarat,6538000,1356758738
Prayagraj,25.4358,81.8464,India,Uttar Pradesh,5954391,1356718332
Lucknow,26.85,80.95,India,Uttar Pradesh,3382000,1356891790
Jaipur,26.9,75.8,India,Rajasthan,3073350,1356293537
Cawnpore,26.4499,80.3319,India,Uttar Pradesh,2701324,1356575238
Mirzapur,25.146,82.569,India,Uttar Pradesh,2496970,1356427908
Nagpur,21.1497,79.0806,India,Maharashtra,2405665,1356365743
Ghaziabad,28.67,77.42,India,Uttar Pradesh,2375820,1356691871
Vadodara,22.3,73.2,India,Gujarat,2065771,1356705249
Vishakhapatnam,17.7042,83.2978,India,Andhra Pradesh,2035922,1356692563
Indore,22.7167,75.8472,India,Madhya Pradesh,1994397,1356402812
Thane,19.1972,72.9722,India,Maharashtra,1886941,1356681152
Bhopal,23.25,77.4167,India,Madhya Pradesh,1798218,1356734039
Chinchvad,18.6186,73.8037,India,Maharashtra,1729320,1356475483
Patna,25.6,85.1,India,Bihar,1684222,1356821429
Bilaspur,22.09,82.15,India,Chhattisgarh,1625502,1356820491
Ludhiana,30.91,75.85,India,Punjab,1618879,1356929498
Agwar,27.18,78.02,India,Uttar Pradesh,1585705,1356151564
Agra,27.18,78.02,India,Uttar Pradesh,1585704,1356187395
Madurai,9.9252,78.1198,India,Tamil Nadu,1561129,1356257289
Jamshedpur,22.7925,86.1842,India,Jharkhand,1558000,1356501259
Nasik,20,73.78,India,Maharashtra,1486053,1356562598
